Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,Mode,TStep,Comment
247,SR6OO,439.250000,-,7.600000,Tone,123.0,123.0,FM,12.5,Olesno
248,SR6OP,439.325000,-,7.600000,Tone,94.8,94.8,FM,12.5,Opole
249,SR6PS,438.800000,-,7.600000,Tone,94.8,94.8,FM,12.5,Świdnica
250,SR6R,145.600000,-,0.600000,Tone,103.5,103.5,FM,12.5,Wrocław
252,SR6S,145.787500,-,0.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
253,SR6TT,439.225000,-,7.600000,Tone,67.0,88.5,FM,12.5,59-420 BOLKÓW STARE ROCHOWICE 116
255,SR6UKB,439.262500,-,7.600000,Tone,94.8,94.8,FM,12.5,Kopa Biskupia
257,SR6UPK,438.537500,-,7.600000,Tone,67.0,88.5,FM,12.5,50.763453, 15.639642
258,SR6UVO,439.387500,-,7.600000,Tone,94.8,94.8,FM,12.5,Elektrownia Opole, Brzezie k/Opola
259,SR6UVW,439.012500,-,7.600000,,88.5,88.5,DV,12.5,Wrocław - Dom Akademicki
260,SR6UVX,439.412500,-,7.600000,Tone,103.5,88.5,FM,12.5,Żmigród
261,SR6UVY,439.212500,-,7.600000,,88.5,88.5,FM,12.5,Oława
262,SR6W,145.662500,-,0.600000,Tone,94.8,94.8,FM,12.5,Wałbrzych
263,SR6WR,438.850000,-,7.600000,Tone,103.5,103.5,FM,12.5,Wrocław
264,SR6WRC,430.175000,split,70.260000,Tone,103.5,88.5,FM,12.5,Mokronos Gorny
265,SR6WS,438.925000,-,7.600000,Tone,94.8,94.8,FM,12.5,Wielka Sowa
266,SR6WY,439.075000,-,7.600000,Tone,71.9,71.9,FM,12.5,Wysoka k. Góry św. Anny EMITEL
268,SR6Z,145.637500,-,0.600000,Tone,67.0,67.0,FM,12.5,Góra Świeradowiec
269,SR7BU,145.237500,split,145.237500,Tone,77.0,77.0,FM,12.5,Burzenin
276,SR7E,145.762500,-,0.600000,Tone,77.0,77.0,FM,12.5,Bełchatów
278,SR7KGO,145.275000,split,433.250000,Tone,88.5,88.5,FM,12.5,Busko-Zdrój
279,SR7KI,438.725000,-,7.600000,Tone,88.5,88.5,FM,12.5,Góra Święty Krzyż EMITEL
280,SR7KP,439.425000,-,7.600000,Tone,88.5,88.5,FM,12.5,Kielce
281,SR7KU,438.925000,-,7.600000,Tone,82.5,88.5,FM,12.5,Kutno
282,SR7L,145.675000,-,0.600000,,88.5,77.0,FM,12.5,Łódź
283,SR7LA,439.375000,-,7.600000,Tone,77.0,88.5,FM,12.5,Łódź
284,SR7LD,439.075000,-,7.600000,Tone,77.0,77.0,FM,12.5,Łódź
286,SR7LDZ,438.350000,-,7.600000,Tone,77.0,77.0,FM,12.5,Łódź
287,SR7LLX,438.875000,split,431.275000,,88.5,88.5,FM,12.5,
288,SR7LM,439.200000,-,7.600000,,88.5,88.5,FM,12.5,Łódź
290,SR7O,145.662500,-,0.600000,,88.5,88.5,FM,12.5,Śnieżkowice POLKOMTEL
291,SR7OS,439.475000,-,7.600000,Tone,71.9,71.9,FM,12.5,Ostrowiec Świętokrzyski
292,SR7PA,439.400000,-,7.600000,Tone,77.0,88.5,FM,12.5,Pabianice
293,SR7PB,438.650000,-,7.600000,,88.5,118.8,FM,12.5,Bałtów
294,SR7SC,439.325000,-,7.600000,Tone,118.8,118.8,FM,12.5,Skierniewice
295,SR7SI,438.825000,-,7.600000,Tone,77.0,77.0,FM,12.5,Sieradz
296,SR7ST,439.150000,-,7.600000,Tone,110.9,110.9,FM,12.5,Staszów
298,SR7TCW,438.125000,split,145.275000,,88.5,88.5,FM,12.5,Złota
299,SR7TM,438.675000,-,7.600000,Tone,118.8,118.8,FM,12.5,Tomaszów Mazowiecki
300,SR7UAL,438.650000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
301,SR7ULD,439.550000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
302,SR7ULD-C,145.712500,-,0.600000,,88.5,88.5,DV,12.5,Łódź
304,SR7USC,439.250000,-,7.600000,,88.5,88.5,DV,12.5,Skierniewice
305,SR7UTM,439.100000,-,7.600000,,88.5,88.5,DV,12.5,Tomaszów Mazowiecki
306,SR7UVK-B,439.125000,-,7.600000,,88.5,88.5,DV,12.5,Góra Święty Krzyż EMITEL
307,SR7UVL-B,439.450000,-,7.600000,,88.5,88.5,DV,12.5,Łódź
308,SR7UVV,439.487500,-,7.600000,,88.5,88.5,DV,12.5,Góra Kamieńsk
309,SR7UWI,438.525000,-,7.600000,,88.5,88.5,DV,12.5,Czastary
310,SR7V,145.625000,-,0.600000,Tone,88.5,88.5,FM,12.5,Góra Święty Krzyż EMITEL
311,SR7VV,439.112500,-,7.600000,Tone,77.0,77.0,FM,12.5,Góra Kamieńsk
312,SR7W,145.700000,-,0.600000,,88.5,77.0,FM,12.5,Wieluń
313,SR7WI,439.000000,-,7.600000,Tone,77.0,77.0,FM,12.5,Działoszyn
314,SR7ZD,438.900000,-,7.600000,Tone,77.0,88.5,FM,12.5,Zduńska Wola
315,SR7ZG,438.950000,split,431.350000,Tone,77.0,77.0,FM,12.5,Zgierz
316,SR8AGA,439.350000,-,7.600000,Tone,103.5,88.5,FM,12.5,Domaradz
317,SR8AR,29.690000,-,0.100000,Tone,127.3,127.3,FM,12.5,Krosno
318,SR8AR,29.590000,split,29.690000,Tone,127.3,127.3,FM,12.5,Krosno
319,SR8AVB,439.012500,-,7.600000,,88.5,88.5,DV,12.5,Biała Podlaska
320,SR8B,145.787500,-,0.600000,,88.5,88.5,FM,12.5,Leżajsk
321,SR8BB,431.275000,+,7.600000,Tone,103.5,103.5,FM,12.5,Bereżnica Wyżna
322,SR8BD,438.875000,-,7.600000,Tone,103.5,103.5,FM,12.5,EmiTel RTON Biała Podlaska
323,SR8BI,438.900000,-,7.600000,,88.5,88.5,FM,12.5,Baligród
324,SR8BP,438.650000,-,7.600000,Tone,103.5,103.5,FM,12.5,Chotycze - RTCN Łosice
325,SR8CH,438.675000,-,7.600000,Tone,77.0,77.0,FM,12.5,Chełm
326,SR8D,145.650000,-,0.600000,Tone,103.5,103.5,FM,12.5,Chotycze - RTCN Łosice
327,SR8DE,439.300000,-,7.600000,Tone,103.5,88.5,FM,12.5,Dębica
328,SR8DEF,438.425000,-,7.600000,Tone,103.5,88.5,FM,12.5,Dębica
333,SR8DU,439.000000,-,7.600000,,88.5,88.5,FM,12.5,Drohobyczka-Dubiecko
335,SR8ET,439.200000,-,7.600000,Tone,71.9,71.9,FM,12.5,Sanok - Urząd Miasta
337,SR8J,145.700000,-,0.600000,,88.5,88.5,FM,12.5,Jarosław
338,SR8JR,439.250000,-,7.600000,,88.5,88.5,FM,12.5,Jarosław
339,SR8JS,438.800000,-,7.600000,,88.5,103.5,FM,12.5,Jasło - Góra Liwocz
340,SR8K,145.600000,-,0.600000,Tone,71.9,71.9,FM,12.5,Drohobyczka-Dubiecko
341,SR8KN,438.925000,-,7.600000,Tone,103.5,103.5,FM,12.5,Krosno
342,SR8KP,439.575000,-,7.600000,,88.5,88.5,FM,12.5,Leżajsk-Giedlarowa
343,SR8L,145.675000,-,0.600000,Tone,67.0,67.0,FM,12.5,Lublin
344,SR8LKR,438.550000,-,7.600000,Tone,67.0,67.0,FM,12.5,Kraśnik
345,SR8LL,1298.100000,-,28.000000,,88.5,88.5,FM,12.5,Lublin
346,SR8LLB,439.250000,-,7.600000,,88.5,88.5,FM,12.5,Lubartów
347,SR8LU,439.050000,-,7.600000,Tone,67.0,67.0,FM,12.5,Lublin
349,SR8LW,438.700000,-,7.600000,Tone,103.5,103.5,FM,12.5,Łuków (Zbożowa 2)
350,SR8NP,145.762500,-,0.600000,,88.5,186.2,FM,12.5,Przemyśl
351,SR8PL,439.087500,-,7.600000,Tone,118.8,118.8,FM,12.5,Kazimierz Dolny
352,SR8PPN,438.900000,-,7.600000,Tone,67.0,67.0,FM,12.5,gm. Urszulin
353,SR8PU,438.850000,-,7.600000,Tone,118.8,118.8,FM,12.5,Kazimierz Dolny
354,SR8R,145.675000,-,0.600000,,88.5,88.5,FM,12.5,Rzeszów
357,SR8S,145.712500,-,0.600000,Tone,123.0,123.0,FM,12.5,Świdnik
358,SR8SAN,145.587500,split,431.850000,Tone,82.5,82.5,FM,12.5,Sanok
359,SR8SD,439.325000,-,7.600000,Tone,123.0,123.0,FM,12.5,Świdnik
360,SR8SM,438.650000,-,7.600000,Tone,123.0,123.0,FM,12.5,Sędziszów Małopolski - ciepłownia
361,SR8T,145.725000,-,0.600000,Tone,103.5,103.5,FM,12.5,Sucha Góra k/Krosno EMITEL
362,SR8TR,29.690000,-,0.100000,,88.5,88.5,FM,12.5,Leżajsk Cmentarna CNR
363,SR8U,145.687500,-,0.600000,,88.5,88.5,FM,12.5,Baligród
364,SR8UVB,439.412500,-,7.600000,,88.5,88.5,DV,12.5,Chotycze - RTCN Łosice
365,SR8UVC,439.550000,-,7.600000,,88.5,88.5,DV,12.5,Biała Podlaska
366,SR8UVL,438.825000,-,7.600000,,88.5,88.5,DV,12.5,Lublin
367,SR8UVP,439.462500,-,7.600000,,88.5,88.5,DV,12.5,Kazimierz Dolny
368,SR8UWD,438.512500,-,7.600000,,88.5,88.5,DV,12.5,Włodawa
369,SR8V,145.612500,-,0.600000,,88.5,88.5,FM,12.5,Jasło - Góra Liwocz
370,SR8WD,438.975000,-,7.600000,Tone,103.5,103.5,FM,12.5,Włodawa
371,SR8X,145.700000,-,0.600000,Tone,118.8,118.8,FM,12.5,Puławy
372,SR8Z,145.750000,-,0.600000,Tone,77.0,77.0,FM,12.5,Feliksówka k/Zamościa
373,SR8ZA,439.275000,-,7.600000,Tone,77.0,88.5,FM,12.5,Feliksówka k/Zamościa
374,SR9A,145.775000,-,0.600000,,88.5,88.5,FM,12.5,Góra Wał - Tarnów
375,SR9AD,438.625000,-,7.600000,,88.5,88.5,FM,12.5,Kraków?
377,SR9AE,438.825000,-,7.600000,Tone,103.5,103.5,FM,12.5,Obserwatorium astronomiczne Lubomir
378,SR9ASR,438.300000,-,7.600000,Tone,67.0,67.0,FM,12.5,Góra Żar
379,SR9B,145.712500,-,0.600000,Tone,67.0,88.5,FM,12.5,Skrzyczne
