Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
816,MB6MK,433.662500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MILTON KEYNES,,,,
817,MB6ML,431.100000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MATLOCK,,,,
818,MB6MN,144.812500,-,144.812500,,67.0,67.0,023,NN,FM,12.50,,MORETON,,,,
819,MB6MO,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,EYEMOUTH,,,,
820,MB6MT,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MERTHYR TYDFIL,,,,
821,MB6MU,431.087500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,YSTRAD MYNACH,,,,
822,MB6ND,434.512500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,HARWICH,,,,
823,MB6NH,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,NORTHAMPTON,,,,
824,MB6NL,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,NEWCASTLE UNDER LYME,,,,
825,MB6NW,431.137500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,NORTH WINGFIELD,,,,
826,MB6NY,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,EASINGWOLD,,,,
827,MB6OG,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MALVERN,,,,
828,MB6OH,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,DUDLEY,,,,
829,MB6OM,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,OMAGH,,,,
830,MB6OX,434.512500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,READING,,,,
831,MB6PA,431.125000,-,431.125000,,67.0,67.0,023,NN,FM,12.50,,EASTFIELD,,,,
832,MB6PG,431.125000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,PORTHMADOG,,,,
833,MB6PG,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,PORTHMADOG,,,,
834,MB6PT,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,TAL-Y-BONT,,,,
835,MB6PW,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ST HELENS,,,,
836,MB6RI,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,RINGWOOD,,,,
837,MB6RK,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BELFAST,,,,
838,MB6RL,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CAERPHILLY,,,,
839,MB6RO,144.887500,-,144.887500,,67.0,67.0,023,NN,FM,12.50,,HASLINGDEN,,,,
840,MB6RU,144.850000,-,144.850000,,67.0,67.0,023,NN,FM,12.50,,HEDNESFORD,,,,
841,MB6RY,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,RICHMOND,,,,
842,MB6SF,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SHEFFIELD,,,,
843,MB6SF,431.112500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SHEFFIELD,,,,
844,MB6SK,431.075000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,STOCKPORT,,,,
845,MB6SL,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SLEAFORD ,,,,
846,MB6ST,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ABERDEEN,,,,
847,MB6SW,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,KINGS LYNN,,,,
848,MB6SY,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SHREWSBURY,,,,
849,MB6TB,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BATH,,,,
850,MB6TD,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,SWINDON,,,,
851,MB6TE,144.887500,-,144.887500,,67.0,67.0,023,NN,FM,12.50,,MOLD,,,,
852,MB6TF,144.887500,-,144.887500,,67.0,67.0,023,NN,FM,12.50,,TURRIFF,,,,
